time,event_type,lane_before,lane_after,obstacle_lane,score,streak,lives,details
4.520685832991148,gate_spawn,1,1,0,0,0,8,
6.473033166999812,eog_right,1,2,,0,0,8,centered_signal=-2874.161;movement=lane_changed
6.9079057079943595,gate_spawn,2,2,1,0,0,8,
7.003108374992735,eog_left,2,1,,0,0,8,centered_signal=2655.393;movement=lane_changed
7.930699791992083,eog_right,1,2,,0,0,8,centered_signal=-2621.529;movement=lane_changed
8.149922166994656,gate_missed,2,2,0,0,0,7,
8.658111041993834,eog_left,2,1,,0,0,7,centered_signal=2481.102;movement=lane_changed
9.309205375000602,gate_spawn,1,1,1,0,0,7,
9.608504207993974,eog_right,1,2,,0,0,7,centered_signal=-2503.950;movement=lane_changed
10.515313457988668,gate_missed,2,2,1,0,0,6,
11.172175041996525,eog_left,2,1,,0,0,6,centered_signal=2562.630;movement=lane_changed
11.700505749991862,gate_spawn,1,1,0,0,0,6,
12.88101904198993,gate_passed,1,1,1,100,1,6,multiplier=1.0;points=100
13.29640045799897,eog_left,1,0,,100,1,6,centered_signal=2571.348;movement=lane_changed
14.109140957996715,gate_spawn,0,0,1,100,1,6,
15.253163332992699,gate_passed,0,0,0,200,2,6,multiplier=1.0;points=100
16.503746374990442,gate_spawn,0,0,0,200,2,6,
16.796144957988872,eog_right,0,1,,200,2,6,centered_signal=-2642.479;movement=lane_changed
17.64530016700155,gate_passed,1,1,1,350,3,6,multiplier=1.5;points=150
18.917055083002197,gate_spawn,1,1,1,350,3,6,
19.076153999994858,eog_right,1,2,,350,3,6,centered_signal=-2703.822;movement=lane_changed
20.02133324999886,gate_missed,2,2,0,250,0,5,
20.856503874994814,eog_right,2,2,,250,0,5,centered_signal=-2500.980;movement=blocked_at_edge
21.30255816699355,gate_spawn,2,2,1,250,0,5,
21.992543582993676,eog_left,2,1,,250,0,5,centered_signal=2600.339;movement=lane_changed
22.39745687499817,gate_passed,1,1,1,350,1,5,multiplier=1.0;points=100
22.67102954199072,eog_right,1,2,,350,1,5,centered_signal=-3103.885;movement=lane_changed
23.41099612499238,eog_left,2,1,,350,1,5,centered_signal=2996.093;movement=lane_changed
23.701097375000245,gate_spawn,1,1,2,350,1,5,
24.034617041994352,eog_right,1,2,,350,1,5,centered_signal=-2490.275;movement=lane_changed
24.780183582988684,gate_missed,2,2,1,250,0,4,
26.112663791995146,gate_spawn,2,2,2,250,0,4,
27.138982707998366,gate_passed,2,2,2,350,1,4,multiplier=1.0;points=100
28.513648749998538,gate_spawn,2,2,1,350,1,4,
29.525575791994925,gate_passed,2,2,2,450,2,4,multiplier=1.0;points=100
30.2330909579905,eog_left,2,1,,450,2,4,centered_signal=2865.811;movement=lane_changed
30.856553666992113,eog_right,1,2,,450,2,4,centered_signal=-2592.387;movement=lane_changed
30.90225549999741,gate_spawn,2,2,1,450,2,4,
